Data,Dia da semana,Turno,Semana,Candidatos,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,A_25,A_26,A_27,A_28,A_29,A_30,A_31,A_32
09/10/2020,sexta-feira,1,1,Rafael Diniz,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
10/10/2020,sábado,1,1,Rafael Diniz,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
12/10/2020,segunda-feira,1,2,Rafael Diniz,,,,,,,,,,,1,,,1,,,,1,,,,,,,1,,,,,,,
13/10/2020,terça-feira,1,2,Rafael Diniz,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/10/2020,quarta-feira,1,2,Rafael Diniz,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
15/10/2020,quinta-feira,1,2,Rafael Diniz,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
16/10/2020,sexta-feira,1,2,Rafael Diniz,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
17/10/2020,sábado,1,2,Rafael Diniz,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
19/10/2020,segunda-feira,1,3,Rafael Diniz,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
20/10/2020,terça-feira,1,3,Rafael Diniz,,,1,,1,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,
21/10/2020,quarta-feira,1,3,Rafael Diniz,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
22/10/2020,quinta-feira,1,3,Rafael Diniz,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
23/10/2020,sexta-feira,1,3,Rafael Diniz,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
24/10/2020,sábado,1,3,Rafael Diniz,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
26/10/2020,segunda-feira,1,4,Rafael Diniz,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
27/10/2020,terça-feira,1,4,Rafael Diniz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/10/2020,quarta-feira,1,4,Rafael Diniz,,,1,,,,1,,,1,,,,,,1,,,,,,,1,,,,,,,,,
